Cycle,Time (real),Time (simulation),Agent,Start Time,End Time,Duration,Start Battery,End Battery
36,2021-10-28 23:30:19,1260.0,bike16,175.0,1260.0,1085.0,31458,32415
36,2021-10-28 23:30:20,1260.0,bike48,105.0,1260.0,1155.0,31959,32933
39,2021-10-28 23:30:21,1365.0,bike44,105.0,1365.0,1260.0,33516,34615
40,2021-10-28 23:30:22,1400.0,bike26,70.0,1400.0,1330.0,31810,32991
42,2021-10-28 23:30:23,1470.0,bike47,140.0,1470.0,1330.0,31036,32192
44,2021-10-28 23:30:24,1540.0,bike29,210.0,1540.0,1330.0,29977,31139
47,2021-10-28 23:30:25,1645.0,bike37,385.0,1645.0,1260.0,30888,31993
48,2021-10-28 23:30:26,1680.0,bike21,210.0,1680.0,1470.0,30891,32163
49,2021-10-28 23:30:27,1715.0,bike6,140.0,1715.0,1575.0,31448,32790
49,2021-10-28 23:30:27,1715.0,bike38,210.0,1715.0,1505.0,30799,32106
51,2021-10-28 23:30:28,1785.0,bike17,70.0,1785.0,1715.0,30575,32011
63,2021-10-28 23:30:35,2205.0,bike7,1085.0,2205.0,1120.0,31136,32078
