'Question1',time - timeBikeRequested
Question1,240.0
Question1,480.0
Question1,480.0
Question1,540.0
Question1,600.0
Question1,720.0
Question1,720.0
Question1,180.0
Question1,180.0
Question1,240.0
Question1,240.0
Question1,360.0
Question1,240.0
Question1,300.0
Question1,300.0
Question1,360.0
Question1,360.0
Question1,360.0
Question1,360.0
Question1,240.0
Question1,840.0
Question1,420.0
Question1,300.0
Question1,300.0
Question1,180.0
Question1,480.0
Question1,180.0
Question1,600.0
Question1,180.0
Question1,180.0
Question1,180.0
Question1,240.0
